participant	task	step	word	lemma	pos	z	start_obj	end_obj
1_1a	1	16857	and	and	CCONJ	8	Bowl	None
1_1a	1	16866	and	and	CCONJ	9	None	None
1_1a	1	16884	and	and	CCONJ	4	None	None
1_1a	1	16902	and	and	CCONJ	2	None	None
1_1a	1	16920	then	then	ADV	2	None	None
1_1a	1	16947	we	-PRON-	PRON	2	None	None
1_1a	1	16956	need	need	VERB	7	None	None
1_1a	1	16965	silverware	silverware	NOUN	7	None	None
1_1a	1	16992	silverware	silverware	NOUN	2	None	None
1_1a	1	17037	NA	NA	NA	2	None	None
1_1a	1	17073	NA	NA	NA	1	None	None
1_1a	1	17118	NA	NA	NA	3	None	None
1_1a	1	17127	NA	NA	NA	2	None	Knife
1_1a	1	17207	so	so	ADV	2	None	Knife
1_1a	1	17243	here	here	ADV	2	None	Knife
1_1a	1	17298	we	-PRON-	PRON	2	None	Knife
1_1a	1	17307	have	have	AUX	2	None	Knife
1_1a	1	17316	have	have	AUX	1	Knife	Knife
1_1a	1	17324	NA	NA	NA	1	Knife	Knife
1_1a	1	17378	got	get	VERB	1	Knife	Knife
1_1a	1	17379	got	get	VERB	3	Knife	Knife
1_1a	1	17406	got	get	VERB	6	Knife	Knife
1_1a	1	17458	to	to	PART	6	Knife	Knife
1_1a	1	17468	be	be	AUX	6	Knife	Knife
1_1a	1	17486	careful	careful	ADJ	6	Knife	Knife
1_1a	1	17513	with	with	ADP	6	Knife	Knife
1_1a	1	17522	NA	NA	NA	6	Knife	Knife
1_1a	1	17604	NA	NA	NA	2	Knife	Knife
1_1a	1	17622	NA	NA	NA	7	Knife	Knife
1_1a	1	17649	NA	NA	NA	2	Knife	Knife
1_1a	1	17710	very	very	ADV	2	Knife	Knife
1_1a	1	17748	very	very	ADV	1	Knife	Knife
1_1a	1	17773	sharp	sharp	ADJ	1	Knife	Knife
1_1a	1	17791	NA	NA	NA	1	Knife	Knife
1_1a	1	17838	NA	NA	NA	7	Knife	None
1_1a	1	17917	and	and	CCONJ	7	Knife	None
1_1a	1	17928	and	and	CCONJ	2	None	Spoon
1_1a	1	18007	NA	NA	NA	2	None	Spoon
1_1a	1	18043	're	be	AUX	2	None	Spoon
1_1a	1	18061	going	go	VERB	2	None	Spoon
1_1a	1	18070	NA	NA	NA	2	None	Spoon
1_1a	1	18079	put	put	VERB	2	None	Spoon
1_1a	1	18106	your	-PRON-	DET	2	None	Spoon
1_1a	1	18135	your	-PRON-	DET	1	Spoon	Spoon
1_1a	1	18196	turn	turn	NOUN	1	Spoon	Spoon
1_1a	1	18198	turn	turn	NOUN	3	Spoon	Spoon
1_1a	1	18207	turn	turn	NOUN	6	Spoon	Spoon
1_1a	1	18250	down	down	ADP	6	Spoon	Spoon
1_1a	1	18277	NA	NA	NA	6	Spoon	Spoon
1_1a	1	18351	NA	NA	NA	2	Spoon	Spoon
1_1a	1	18376	spoon	spoon	NOUN	2	Spoon	Spoon
1_1a	1	18430	goes	go	VERB	2	Spoon	Spoon
1_1a	1	18522	goes	go	VERB	1	Spoon	Spoon
1_1a	1	18538	NA	NA	NA	1	Spoon	Spoon
1_1a	1	18601	night	night	NOUN	1	Spoon	Spoon
1_1a	1	18628	NA	NA	NA	1	Spoon	Spoon
1_1a	1	18630	NA	NA	NA	3	Spoon	Spoon
1_1a	1	18648	NA	NA	NA	7	Spoon	None
1_1a	1	18702	NA	NA	NA	2	None	None
1_1a	1	18735	and	and	CCONJ	2	None	None
1_1a	1	18780	then	then	ADV	2	None	None
1_1a	1	18801	then	then	ADV	7	None	None
1_1a	1	18816	NA	NA	NA	7	None	None
1_1a	1	18837	NA	NA	NA	2	None	Fork
1_1a	1	19062	NA	NA	NA	1	Fork	Fork
1_1a	1	19080	NA	NA	NA	3	Fork	Fork
1_1a	1	19089	NA	NA	NA	8	Fork	Bear
1_1a	1	19116	NA	NA	NA	3	Bear	Bear
1_1a	1	19140	's	-PRON-	PRON	3	Bear	Bear
1_1a	1	19152	's	-PRON-	PRON	8	Bear	Bear
1_1a	1	19179	's	-PRON-	PRON	3	Bear	Bear
1_1a	1	19193	just	just	ADV	3	Bear	Bear
1_1a	1	19202	move	move	VERB	3	Bear	Bear
1_1a	1	19206	move	move	VERB	1	Bear	Bear
1_1a	1	19220	your	-PRON-	DET	1	Bear	Bear
1_1a	1	19238	teddy	teddy	NOUN	1	Bear	Bear
1_1a	1	19242	teddy	teddy	NOUN	3	Bear	Bear
1_1a	1	19251	teddy	teddy	NOUN	8	Bear	Fork
1_1a	1	19266	bear	bear	VERB	8	Bear	Fork
1_1a	1	19275	NA	NA	NA	8	Bear	Fork
1_1a	1	19296	NA	NA	NA	2	Fork	Fork
1_1a	1	19323	NA	NA	NA	1	Fork	Fork
1_1a	1	19350	NA	NA	NA	3	Fork	Fork
1_1a	1	19368	NA	NA	NA	6	Fork	Fork
1_1a	1	19400	fork	fork	NOUN	6	Fork	Fork
1_1a	1	19436	goes	go	VERB	6	Fork	Fork
1_1a	1	19463	NA	NA	NA	6	Fork	Fork
1_1a	1	19481	left	left	NOUN	6	Fork	Fork
1_1a	1	19499	of	of	ADP	6	Fork	Fork
1_1a	1	19521	of	of	ADP	2	Fork	Fork
1_1a	1	19535	NA	NA	NA	2	Fork	Fork
1_1a	1	19544	ball	ball	NOUN	2	Fork	Fork
1_1a	1	19562	NA	NA	NA	2	Fork	Fork
1_1a	1	19656	NA	NA	NA	1	Fork	Fork
1_1a	1	19764	NA	NA	NA	3	Fork	Fork
1_1a	1	19773	NA	NA	NA	7	Fork	None
1_1a	1	19803	and	and	CCONJ	7	Fork	None
1_1a	1	19863	and	and	CCONJ	2	None	Cup
1_1a	1	19884	lastly	lastly	ADV	2	None	Cup
1_1a	1	19920	NA	NA	NA	2	None	Cup
1_1a	1	20117	we	-PRON-	PRON	2	None	Cup
1_1a	1	20153	have	have	AUX	2	None	Cup
1_1a	1	20162	to	to	PART	2	None	Cup
1_1a	1	20180	tie	tie	VERB	2	None	Cup
1_1a	1	20187	tie	tie	VERB	1	Cup	Cup
1_1a	1	20198	it	-PRON-	PRON	1	Cup	Cup
1_1a	1	20207	NA	NA	NA	1	Cup	Cup
1_1a	1	20405	your	-PRON-	DET	1	Cup	Cup
1_1a	1	20421	your	-PRON-	DET	3	Cup	Cup
1_1a	1	20439	your	-PRON-	DET	6	Cup	Cup
1_1a	1	20468	glass	glass	NOUN	6	Cup	Cup
1_1a	1	20549	NA	NA	NA	6	Cup	Cup
1_1a	1	20619	NA	NA	NA	2	Cup	Cup
1_1a	1	20746	just	just	ADV	2	Cup	Cup
1_1a	1	20800	beyond	beyond	ADP	2	Cup	Cup
1_1a	1	20827	durable	durable	ADJ	2	Cup	Cup
1_1a	1	20863	NA	NA	NA	2	Cup	Cup
1_1a	1	20871	NA	NA	NA	1	Cup	Cup
1_1a	1	21051	NA	NA	NA	3	Cup	Cup
1_1a	1	21060	NA	NA	NA	7	Cup	Apple
1_1a	1	21079	okay	okay	INTJ	7	Cup	Apple
1_1a	1	21114	okay	okay	INTJ	2	Apple	Apple
1_1a	1	21123	okay	okay	INTJ	1	Apple	Apple
1_1a	1	21124	stopping	stop	VERB	1	Apple	Apple
1_1a	1	21132	stopping	stop	VERB	3	Apple	Apple
1_1a	1	21141	stopping	stop	VERB	6	Apple	Banana
1_1a	1	21178	recording	recording	NOUN	6	Apple	Banana
1_1a	1	21186	recording	recording	NOUN	3	Banana	Banana
1_1a	1	21195	recording	recording	NOUN	1	Banana	Banana
1_1a	1	21205	NA	NA	NA	1	Banana	Banana
1_1a	1	21222	NA	NA	NA	3	Banana	Banana
1_1a	1	21231	NA	NA	NA	5	Banana	Banana
1_1a	1	21240	NA	NA	NA	3	Banana	Banana
1_1a	1	21249	NA	NA	NA	NA	NA	NA
1_1a	2	21258	NA	NA	NA	1	Spoon	Spoon
1_1a	2	21312	NA	NA	NA	3	Spoon	Spoon
1_1a	2	21341	location	location	NOUN	3	Spoon	Spoon
1_1a	2	21348	location	location	NOUN	5	Spoon	Spoon
1_1a	2	21357	location	location	NOUN	3	Spoon	Knife
1_1a	2	21402	location	location	NOUN	1	Knife	Spoon
1_1a	2	21413	are	be	AUX	1	Knife	Spoon
1_1a	2	21422	NA	NA	NA	1	Knife	Spoon
1_1a	2	21456	NA	NA	NA	3	Spoon	Banana
1_1a	2	21468	lunch	lunch	NOUN	3	Spoon	Banana
1_1a	2	21474	lunch	lunch	NOUN	7	Banana	Banana
1_1a	2	21495	so	so	ADV	7	Banana	Banana
1_1a	2	21519	so	so	ADV	3	Banana	Banana
1_1a	2	21546	so	so	ADV	1	Banana	Banana
1_1a	2	21576	first	first	ADV	1	Banana	Banana
1_1a	2	21612	NA	NA	NA	1	Banana	Banana
1_1a	2	21627	NA	NA	NA	3	Banana	Banana
1_1a	2	21708	NA	NA	NA	1	Banana	Banana
1_1a	2	21816	NA	NA	NA	3	Banana	Banana
1_1a	2	21828	take	take	VERB	3	Banana	Banana
1_1a	2	21834	take	take	VERB	4	Banana	Banana
1_1a	2	21836	this	this	DET	4	Banana	Banana
1_1a	2	21852	this	this	DET	1	Banana	Banana
1_1a	2	21854	pill	pill	NOUN	1	Banana	Banana
1_1a	2	21861	pill	pill	NOUN	4	Banana	Banana
1_1a	2	21879	pill	pill	NOUN	1	Banana	Banana
1_1a	2	21934	off	off	ADP	1	Banana	Banana
1_1a	2	21942	NA	NA	NA	1	Banana	Banana
1_1a	2	21978	and	and	CCONJ	4	Banana	Banana
1_1a	2	21996	and	and	CCONJ	3	Banana	Banana
1_1a	2	22068	and	and	CCONJ	1	Banana	Banana
1_1a	2	22113	and	and	CCONJ	3	Banana	Banana
1_1a	2	22122	then	then	ADV	3	Banana	Banana
1_1a	2	22131	NA	NA	NA	3	Banana	Banana
1_1a	2	22140	just	just	ADV	3	Banana	Banana
1_1a	2	22149	just	just	ADV	1	Banana	Banana
1_1a	2	22158	NA	NA	NA	1	Banana	Banana
1_1a	2	22185	it	-PRON-	PRON	1	Banana	Banana
1_1a	2	22212	all	all	DET	1	Banana	Banana
1_1a	2	22230	all	all	DET	3	Banana	Banana
1_1a	2	22266	all	all	DET	1	Banana	Banana
1_1a	2	22284	all	all	DET	3	Banana	Banana
1_1a	2	22293	NA	NA	NA	3	Banana	Banana
1_1a	2	22302	way	way	NOUN	3	Banana	Banana
1_1a	2	22320	down	down	ADV	1	Banana	Banana
1_1a	2	22329	you	-PRON-	PRON	4	Banana	Banana
1_1a	2	22347	you	-PRON-	PRON	1	Banana	Banana
1_1a	2	22374	you	-PRON-	PRON	4	Banana	Banana
1_1a	2	22392	you	-PRON-	PRON	3	Banana	Banana
1_1a	2	22401	n't	not	PART	3	Banana	Banana
1_1a	2	22410	NA	NA	NA	1	Banana	Banana
1_1a	2	22472	top	top	NOUN	1	Banana	Banana
1_1a	2	22508	of	of	ADP	1	Banana	Banana
1_1a	2	22526	NA	NA	NA	1	Banana	Banana
1_1a	2	22599	NA	NA	NA	4	Banana	Banana
1_1a	2	22617	NA	NA	NA	5	Banana	Banana
1_1a	2	22626	NA	NA	NA	6	Banana	Banana
1_1a	2	22653	NA	NA	NA	7	Banana	Banana
1_1a	2	22670	and	and	CCONJ	7	Banana	Banana
1_1a	2	22680	and	and	CCONJ	3	Banana	Banana
1_1a	2	22706	then	then	ADV	3	Banana	Banana
1_1a	2	22715	we	-PRON-	PRON	3	Banana	Banana
1_1a	2	22724	just	just	ADV	3	Banana	Banana
1_1a	2	22725	just	just	ADV	1	Banana	Banana
1_1a	2	22733	going	go	VERB	1	Banana	Banana
1_1a	2	22751	set	set	VERB	1	Banana	Banana
1_1a	2	22769	that	that	DET	1	Banana	Banana
1_1a	2	22778	aside	aside	ADV	1	Banana	Banana
1_1a	2	22796	NA	NA	NA	1	Banana	Banana
1_1a	2	22815	NA	NA	NA	3	Banana	Banana
1_1a	2	22887	NA	NA	NA	7	Banana	Apple
1_1a	2	22922	now	now	ADV	7	Banana	Apple
1_1a	2	22958	'm	be	AUX	7	Banana	Apple
1_1a	2	22959	'm	be	AUX	3	Apple	Apple
1_1a	2	22967	going	go	VERB	3	Apple	Apple
1_1a	2	22976	NA	NA	NA	3	Apple	Apple
1_1a	2	22977	NA	NA	NA	1	Apple	Apple
1_1a	2	23003	apple	apple	NOUN	1	Apple	Apple
1_1a	2	23022	apple	apple	NOUN	3	Apple	Apple
1_1a	2	23047	NA	NA	NA	3	Apple	Apple
1_1a	2	23166	NA	NA	NA	1	Apple	Apple
1_1a	2	23173	top	top	NOUN	1	Apple	Apple
1_1a	2	23184	top	top	NOUN	3	Apple	Apple
1_1a	2	23191	of	of	ADP	3	Apple	Apple
1_1a	2	23200	NA	NA	NA	3	Apple	Apple
1_1a	2	23202	NA	NA	NA	1	Apple	Apple
1_1a	2	23209	Apple	Apple	PROPN	1	Apple	Apple
1_1a	2	23247	Apple	Apple	PROPN	3	Apple	Apple
1_1a	2	23254	NA	NA	NA	3	Apple	Apple
1_1a	2	23263	this	this	DET	3	Apple	Apple
1_1a	2	23281	time	time	NOUN	3	Apple	Apple
1_1a	2	23308	you	-PRON-	PRON	3	Apple	Apple
1_1a	2	23310	you	-PRON-	PRON	1	Apple	Apple
1_1a	2	23326	n't	not	PART	1	Apple	Apple
1_1a	2	23335	want	want	VERB	1	Apple	Apple
1_1a	2	23344	NA	NA	NA	1	Apple	Apple
1_1a	2	23354	that	that	SCONJ	1	Apple	Apple
1_1a	2	23372	NA	NA	NA	1	Apple	Apple
1_1a	2	23382	NA	NA	NA	3	Apple	Apple
1_1a	2	23452	bottom	bottom	NOUN	3	Apple	Apple
1_1a	2	23454	bottom	bottom	NOUN	1	Apple	Apple
1_1a	2	23489	some	some	DET	1	Apple	Apple
1_1a	2	23506	people	people	NOUN	1	Apple	Apple
1_1a	2	23517	people	people	NOUN	3	Apple	Apple
1_1a	2	23533	NA	NA	NA	3	Apple	Apple
1_1a	2	23571	NA	NA	NA	1	Apple	Apple
1_1a	2	23580	NA	NA	NA	3	Apple	Apple
1_1a	2	23694	around	around	ADP	3	Apple	Apple
1_1a	2	23706	around	around	ADP	1	Apple	Apple
1_1a	2	23724	around	around	ADP	3	Apple	Apple
1_1a	2	23742	around	around	ADP	4	Apple	Apple
1_1a	2	23748	NA	NA	NA	4	Apple	Apple
1_1a	2	23760	NA	NA	NA	1	Apple	Apple
1_1a	2	23778	NA	NA	NA	4	Apple	Apple
1_1a	2	23796	NA	NA	NA	5	Apple	Apple
1_1a	2	23850	NA	NA	NA	3	Apple	Apple
1_1a	2	23859	NA	NA	NA	1	Apple	Apple
1_1a	2	23877	NA	NA	NA	3	Apple	Apple
1_1a	2	23886	NA	NA	NA	5	Apple	Apple
1_1a	2	23899	and	and	CCONJ	5	Apple	Apple
1_1a	2	23922	and	and	CCONJ	3	Apple	Apple
1_1a	2	23931	and	and	CCONJ	1	Apple	Apple
1_1a	2	23936	then	then	ADV	1	Apple	Apple
1_1a	2	23949	then	then	ADV	5	Apple	Apple
1_1a	2	23980	got	get	VERB	5	Apple	Apple
1_1a	2	24026	the	the	DET	5	Apple	Apple
1_1a	2	24035	other	other	ADJ	5	Apple	Apple
1_1a	2	24048	other	other	ADJ	4	Apple	Apple
1_1a	2	24062	side	side	NOUN	4	Apple	Apple
1_1a	2	24066	side	side	NOUN	5	Apple	Apple
1_1a	2	24071	NA	NA	NA	5	Apple	Apple
1_1a	2	24093	NA	NA	NA	3	Apple	Apple
1_1a	2	24102	NA	NA	NA	1	Apple	Apple
1_1a	2	24120	NA	NA	NA	3	Apple	Apple
1_1a	2	24129	NA	NA	NA	5	Apple	Apple
1_1a	2	24138	NA	NA	NA	4	Apple	Apple
1_1a	2	24156	NA	NA	NA	5	Apple	Apple
1_1a	2	24206	and	and	CCONJ	5	Apple	Apple
1_1a	2	24210	and	and	CCONJ	3	Apple	Apple
1_1a	2	24241	then	then	ADV	3	Apple	Apple
